QueryType QSQR MagicSets
1 27 3
2 30 0
3 30 0
4 29 1
101 0 0
102 0 0
103 0 0
104 0 0
1001 30 0
1002 29 1
1003 26 4
1004 1 29
50 30 0
150 0 0
1050 0 30
