QueryType QSQR MagicSets
1 30 0
2 29 1
3 30 0
4 30 0
101 0 0
102 1 0
103 0 0
104 0 0
1001 30 0
1002 30 0
1003 30 0
1004 30 0
50 30 0
150 0 0
1050 30 0
